study_hours,sleep_hours,exercise,screen_time,consistency,procrastination,goal_clarity,target
7.54,10.0,1,5.55,6,1,9,High
6.97,5.22,1,5.02,6,6,5,High
4.07,7.79,1,7.32,6,6,8,High
3.23,8.63,1,6.09,7,5,8,High
4.27,8.52,1,3.13,4,4,8,High
9.12,7.23,1,3.46,9,2,8,High
4.42,8.12,0,6.72,3,7,6,Average
1.34,8.47,1,7.87,2,8,4,Negative
7.64,5.16,1,6.93,4,1,3,High
4.96,8.55,0,5.58,7,6,8,High
7.64,6.96,1,3.84,4,3,9,High
6.78,7.49,0,6.25,4,5,8,High
3.48,8.34,0,5.85,10,5,5,High
9.11,6.94,1,4.43,8,1,8,High
2.85,9.99,1,7.36,7,1,6,High
4.69,7.59,1,6.3,8,4,10,High
3.32,4.69,0,6.41,4,5,3,Negative
6.81,5.98,0,6.71,6,5,2,Average
6.48,5.08,0,5.24,4,4,5,Average
6.25,4.5,0,10.81,4,7,5,Negative
2.19,5.06,0,6.07,5,7,5,Negative
5.09,6.59,1,3.9,5,4,6,High
6.85,7.86,1,2.57,9,3,5,High
5.48,6.84,1,4.44,8,2,10,High
5.31,6.71,1,8.2,8,6,8,High
6.41,7.09,0,2.89,9,1,10,High
2.2,3.47,0,5.65,6,3,7,Average
7.26,8.87,1,4.12,5,4,8,High
7.66,9.46,1,7.85,8,3,8,High
8.14,8.09,1,3.01,7,4,9,High
5.83,6.03,0,6.16,3,3,8,High
9.1,7.65,1,3.82,4,3,7,High
1.72,7.71,1,5.5,5,5,6,Average
7.3,8.28,0,4.81,9,6,4,High
5.1,7.16,1,7.34,6,6,7,High
7.17,7.73,1,3.56,5,3,7,High
1.91,6.75,0,9.71,4,7,6,Negative
3.05,6.04,1,5.49,7,4,8,High
4.05,7.88,0,6.66,2,10,6,Negative
8.63,7.4,1,3.7,7,6,6,High
6.17,6.79,0,4.49,3,3,3,Average
4.85,7.25,0,5.62,8,4,8,High
6.64,6.75,1,7.69,5,6,8,High
6.07,7.33,0,3.92,5,2,7,High
5.75,8.9,1,5.95,8,6,7,High
5.0,6.57,1,5.44,5,8,2,Negative
7.48,7.49,1,2.52,8,2,9,High
3.6,7.78,1,4.86,6,8,7,Average
1.22,8.52,1,5.92,3,7,6,Negative
5.92,7.65,1,6.51,4,3,6,High
7.7,7.08,1,2.61,9,1,8,High
6.84,8.3,1,2.08,7,3,9,High
7.81,7.25,0,4.37,4,7,7,High
8.11,6.23,1,5.2,7,5,7,High
5.22,6.42,0,4.37,3,3,8,High
2.92,8.51,1,5.55,7,6,7,Average
5.89,6.12,0,6.76,9,6,6,High
1.8,4.79,0,7.69,6,7,6,Negative
6.69,8.92,1,6.45,2,5,8,Average
2.67,6.17,1,5.1,4,3,4,Average
3.61,8.08,1,4.19,9,6,8,High
1.17,6.08,0,6.22,3,8,2,Negative
3.18,7.25,1,4.51,7,6,5,Average
3.28,7.0,1,4.9,4,6,4,Average
0.98,6.92,1,5.12,6,7,7,Average
1.67,5.51,0,5.85,6,2,8,High
5.43,6.67,1,4.76,6,5,7,High
3.4,6.95,1,0.61,6,3,8,High
4.75,6.51,1,2.55,8,5,5,High
8.19,6.74,1,2.51,6,2,8,High
9.51,5.31,0,4.49,5,6,6,High
1.85,7.09,1,10.15,3,10,1,Negative
0.44,7.27,0,7.87,5,6,7,Negative
6.8,8.57,1,4.16,10,2,8,High
3.19,6.36,0,5.99,5,5,2,Negative
2.54,4.76,0,9.81,6,4,5,Average
3.01,5.54,0,9.76,4,4,3,Negative
1.86,7.81,0,6.23,5,4,7,Average
1.76,5.34,0,7.08,4,5,1,Negative
6.32,7.21,1,5.82,5,5,8,High
8.14,5.55,1,2.33,7,4,5,High
4.86,8.84,1,4.87,4,5,5,Average
7.45,7.15,0,4.55,7,1,7,High
4.01,8.36,1,9.05,2,8,4,Negative
3.03,4.05,0,7.26,4,5,7,Average
5.3,9.38,1,8.85,6,6,8,Average
6.29,6.84,0,1.95,8,1,7,High
5.34,3.0,0,5.46,3,3,3,Average
8.17,5.0,1,2.84,5,5,6,High
2.79,7.78,1,4.51,3,6,4,Average
4.33,7.53,0,5.33,8,3,6,High
8.06,7.72,1,3.26,6,1,7,High
8.13,7.79,1,1.89,7,1,9,High
8.86,8.3,1,4.0,8,1,7,High
5.06,4.53,0,4.16,9,6,7,High
2.65,7.37,0,8.57,1,5,2,Negative
2.8,8.83,1,7.04,3,8,4,Negative
3.94,5.57,1,5.15,4,7,8,Average
8.84,5.68,1,3.56,9,1,8,High
6.0,6.67,0,9.7,7,6,8,Average
5.41,6.93,1,2.62,7,2,7,High
6.22,8.22,1,2.21,7,7,7,High
7.46,7.29,1,6.62,9,6,6,High
5.52,3.76,1,9.5,6,5,6,Average
6.8,7.05,1,6.7,5,5,3,Average
9.68,7.03,0,5.95,5,7,4,Average
6.58,6.5,1,2.75,8,1,9,High
2.29,7.16,0,5.95,5,3,3,Average
6.74,7.92,1,4.84,7,4,7,High
5.95,7.91,0,4.94,7,5,5,High
5.02,3.0,0,9.19,5,8,4,Negative
5.94,8.0,1,1.26,6,3,9,High
2.55,9.17,0,9.45,3,5,4,Negative
6.32,6.48,1,2.87,6,3,6,High
5.63,5.19,1,4.71,7,5,7,High
8.67,5.95,0,3.81,8,4,7,High
4.23,8.06,1,4.54,6,5,7,High
4.4,8.42,1,1.42,7,3,8,High
4.36,6.42,1,5.1,7,6,6,High
6.77,5.07,1,5.77,5,5,8,High
6.32,9.05,1,3.58,8,1,7,High
7.9,7.09,0,5.01,6,6,6,High
6.04,6.32,0,2.57,6,1,6,High
7.19,6.08,0,5.09,5,7,3,Average
4.83,6.76,0,6.99,6,4,6,Average
5.3,3.44,1,4.15,4,6,6,Average
6.73,5.56,1,2.9,10,3,8,High
1.54,6.19,1,6.37,3,7,5,Negative
2.28,4.28,0,6.99,5,9,3,Negative
5.26,7.08,1,3.66,5,4,7,High
3.72,6.79,1,3.85,7,5,6,High
9.67,4.95,1,0.52,10,2,10,High
4.87,7.1,1,10.76,6,8,6,Average
4.4,6.63,0,12.0,4,7,6,Negative
7.96,6.91,1,5.18,8,1,9,High
7.83,5.72,0,6.23,2,7,4,Average
5.85,5.43,1,6.82,6,3,7,High
5.35,7.1,0,2.69,6,5,4,High
5.88,7.93,0,2.91,7,1,7,High
3.19,7.99,0,6.71,5,5,4,Average
7.97,7.47,1,6.15,9,3,10,High
6.4,5.96,0,8.21,5,5,6,Average
6.36,6.45,1,4.84,5,2,8,High
4.31,5.95,0,9.65,2,6,4,Negative
1.63,9.28,1,6.19,8,5,6,Average
2.85,6.65,0,7.89,4,3,4,Average
0.61,7.03,0,4.86,6,2,4,Average
6.54,7.47,0,7.0,5,5,8,High
5.02,8.14,0,3.29,6,4,4,High
2.4,5.17,0,2.63,7,4,8,High
6.69,6.76,1,7.28,7,1,4,High
1.13,8.69,0,6.67,5,10,7,Negative
9.26,6.78,0,3.91,8,1,8,High
6.01,6.95,0,11.59,3,5,6,Average
0.77,6.49,0,8.77,3,7,3,Negative
5.22,8.16,1,3.63,8,3,8,High
6.37,7.66,1,3.05,7,4,8,High
2.54,6.68,0,6.67,9,4,7,High
4.78,8.91,0,6.47,4,7,7,Average
5.12,6.72,0,1.66,2,5,8,Average
10.0,7.07,1,3.92,7,4,10,High
4.84,9.57,1,7.07,6,4,5,Average
7.67,6.18,1,4.27,8,3,8,High
6.46,6.93,0,8.65,6,5,7,High
1.76,5.55,0,4.5,4,5,4,Negative
7.19,8.51,1,0.5,10,1,9,High
6.55,6.91,1,2.45,9,6,6,High
2.16,8.33,1,4.99,5,8,9,Average
3.88,5.49,0,8.47,4,6,2,Negative
7.39,7.45,1,7.47,4,8,6,Average
7.57,6.99,0,4.15,7,5,6,High
4.28,8.79,1,3.42,9,1,9,High
5.39,5.5,0,7.34,8,6,5,Average
2.84,4.26,0,5.82,7,5,8,Average
6.68,7.29,1,9.34,4,5,5,Average
2.69,6.53,0,7.28,5,5,6,Average
4.27,7.26,1,6.59,8,4,6,High
7.95,5.29,1,4.78,6,4,4,High
3.21,7.56,1,2.36,8,4,9,High
5.45,7.4,1,3.27,7,5,10,High
9.0,7.84,1,4.38,7,5,9,High
8.85,8.68,0,8.84,5,7,8,High
5.2,7.72,1,3.51,7,6,5,High
4.94,7.55,1,3.83,10,2,8,High
2.8,8.49,1,5.05,8,5,8,High
10.0,6.9,1,3.69,9,1,9,High
7.78,5.12,1,5.84,6,6,5,High
6.1,6.97,1,7.63,6,6,8,High
5.85,7.07,0,5.88,7,5,9,High
4.02,7.38,0,6.43,5,3,6,Average
5.84,8.02,0,2.9,7,2,10,High
2.81,6.18,0,7.8,4,6,6,Negative
5.32,6.97,1,3.87,9,3,6,High
1.73,6.86,0,4.95,2,10,3,Negative
1.21,5.39,0,5.39,3,6,5,Negative
6.19,7.27,1,7.98,1,4,7,Average
4.38,6.61,0,8.62,2,7,6,Negative
5.53,7.42,0,2.0,7,2,9,High
3.63,7.09,0,7.26,3,6,6,Average
1.54,5.79,0,8.54,5,7,4,Negative
4.7,6.32,0,6.1,4,4,4,Average
5.24,4.77,1,8.13,7,5,6,Average
3.77,4.7,0,6.87,4,7,5,Negative
6.52,6.98,1,5.4,6,2,8,High
5.41,8.36,1,1.87,8,2,9,High
4.23,8.49,1,0.5,9,5,7,High
6.24,8.49,0,7.95,4,4,3,Average
3.44,7.72,1,5.41,6,2,7,High
8.7,7.43,0,5.99,6,6,3,Average
4.88,6.4,1,3.52,5,3,8,High
8.96,6.74,1,9.51,3,5,6,Average
3.53,5.98,0,5.79,7,4,4,Average
6.59,7.04,0,7.11,5,3,5,High
1.56,6.22,1,8.82,6,7,4,Negative
2.67,7.95,0,4.63,8,2,7,High
5.86,6.59,0,6.2,7,8,9,High
7.72,8.8,1,10.97,5,6,7,Average
7.94,8.12,1,2.66,8,4,7,High
6.02,7.29,1,3.61,5,3,7,High
5.47,5.3,1,5.79,8,5,10,High
7.93,4.96,1,6.7,8,4,7,High
2.72,9.51,0,5.64,6,9,5,Negative
5.13,6.42,1,4.69,2,6,5,Average
8.14,7.72,0,3.43,9,2,8,High
6.33,6.47,1,5.44,5,3,8,High
7.37,4.75,0,7.97,5,6,6,Average
5.87,7.65,0,6.49,5,4,4,Average
5.82,6.44,1,4.15,9,4,7,High
4.76,4.55,0,10.96,4,5,5,Negative
3.69,4.95,0,8.43,6,5,3,Negative
2.8,6.48,0,8.18,5,8,3,Negative
7.69,6.07,0,5.31,4,3,8,High
3.24,5.94,0,6.97,4,4,6,Average
7.48,6.84,1,4.23,9,1,9,High
4.91,7.83,1,1.15,8,2,10,High
3.07,6.1,1,4.13,5,3,7,High
8.45,8.32,0,2.98,6,7,7,High
6.2,8.36,1,7.4,6,6,9,High
7.39,7.58,1,6.64,4,3,5,High
5.0,5.69,0,6.94,5,7,8,Average
5.4,7.51,1,7.02,4,4,5,Average
6.37,7.37,0,2.78,5,1,6,High
5.34,8.13,0,8.98,7,4,7,High
5.22,6.75,1,5.01,10,3,7,High
1.16,5.28,0,8.59,6,7,6,Negative
5.09,7.49,0,7.49,4,5,6,Average
4.04,6.88,1,3.77,9,2,7,High
5.03,5.65,0,5.47,1,7,6,Negative
3.77,4.86,1,5.57,5,6,5,Average
4.99,6.89,0,6.34,4,8,10,Average
5.58,3.91,0,6.64,5,7,6,Average
4.47,7.34,1,6.17,6,4,9,High
5.68,5.1,1,4.03,8,5,10,High
6.38,8.32,0,3.77,7,4,8,High
3.3,5.87,1,5.98,5,6,4,Average
5.36,6.68,0,3.57,5,3,8,High
4.45,5.81,1,9.77,5,4,3,Average
3.41,7.03,1,5.52,3,6,4,Average
2.6,5.03,0,6.85,5,8,3,Negative
6.46,5.41,1,4.71,7,8,6,Average
7.9,5.84,1,6.27,6,6,5,High
5.62,7.52,0,3.43,6,4,6,High
2.18,5.43,0,7.44,6,5,4,Negative
9.01,6.85,1,2.99,8,3,9,High
4.78,7.81,1,4.73,8,1,10,High
5.62,5.38,1,5.2,7,4,5,High
4.18,7.87,0,3.48,7,7,4,Average
8.8,8.21,1,3.53,9,1,10,High
6.57,6.77,0,8.3,5,3,8,High
6.79,7.07,0,6.01,7,6,7,High
3.14,8.57,1,4.83,9,4,6,High
7.98,6.59,1,5.3,7,7,7,High
7.16,8.2,0,6.1,4,6,8,High
3.31,7.22,0,9.76,7,7,6,Average
3.62,6.44,1,6.68,4,8,6,Average
3.28,7.5,0,9.76,5,6,3,Negative
3.73,6.44,0,4.53,4,2,2,Average
3.92,7.76,1,8.24,5,3,6,Average
0.0,5.9,0,7.85,3,8,3,Negative
3.26,7.16,0,6.71,4,6,4,Negative
3.39,7.62,0,9.57,4,6,6,Negative
3.66,8.17,1,4.43,6,4,7,High
2.53,5.57,1,7.38,5,9,5,Negative
7.28,8.48,0,2.99,8,2,10,High
5.09,6.41,0,5.94,8,4,9,High
4.46,6.28,0,1.65,5,1,7,High
2.3,5.96,0,5.69,7,4,4,Average
6.15,7.99,0,2.89,8,1,8,High
5.58,6.9,0,1.64,8,1,7,High
4.45,7.69,1,7.22,3,6,6,Average
5.52,5.56,1,4.9,9,3,6,High
5.5,5.24,1,6.24,7,2,9,High
3.27,7.11,0,2.64,3,9,3,Negative
7.16,8.55,0,3.97,5,2,5,High
5.28,7.59,0,4.02,7,6,7,High
4.66,6.2,0,4.51,5,2,6,High
5.67,5.48,1,6.43,8,6,6,High
5.28,5.01,1,5.77,5,5,5,Average
9.25,7.05,1,4.43,8,1,10,High
7.22,5.64,1,3.73,5,3,7,High
5.82,7.9,1,2.43,10,1,8,High
1.6,7.01,0,8.96,4,5,5,Negative
5.58,6.3,0,2.79,5,5,7,High
8.41,7.37,0,2.32,9,5,10,High
5.19,5.13,0,8.44,3,8,6,Negative
3.24,5.97,0,7.53,2,1,9,Average
7.44,4.76,0,5.8,7,4,3,Average
8.83,5.49,0,8.83,7,6,6,High
6.94,5.6,0,6.0,6,7,6,Average
3.88,7.78,0,1.77,6,5,5,High
7.88,6.97,0,1.0,7,5,9,High
5.11,6.79,1,5.68,7,4,8,High
5.41,6.59,0,7.24,3,5,6,Average
0.91,7.41,0,9.86,4,7,7,Negative
5.14,6.39,1,3.17,7,7,8,High
5.85,4.45,0,5.49,4,3,6,Average
4.68,5.9,0,7.18,6,3,8,High
9.03,6.67,1,3.11,6,1,7,High
1.06,6.92,0,1.94,3,9,7,Negative
2.91,7.31,0,4.38,8,2,7,High
7.79,7.32,1,3.49,5,1,7,High
4.14,6.3,0,7.05,6,6,5,Average
6.09,7.44,1,7.0,7,5,8,High
3.65,9.09,0,3.42,6,5,8,High
7.63,5.6,0,3.83,3,1,8,High
5.27,7.79,0,5.93,4,7,3,Negative
2.86,7.95,0,4.79,9,3,8,High
6.94,7.28,1,4.15,9,2,10,High
7.35,6.88,1,3.4,7,3,9,High
8.46,6.67,1,5.86,9,2,7,High
